t,x,y,z,dx,dy,dz
11.757005406928062,0.3562603946017375,0.7465266218752682,0.0,-0.23520882030444762,0.12188427501537343,0.0
11.718064584712895,0.3654021707774367,0.7417266525175233,0.0,-0.23430400955672034,0.12463888295619607,0.0
11.679284699450978,0.37447014985638327,0.7368403003319737,0.0,-0.23335150870614516,0.12736209074846463,0.0
11.64066276776144,0.383463500165805,0.731869305102972,0.0,-0.232352177760204,0.13005237097587466,0.0
11.602199779300447,0.39238051857575873,0.7268159530278345,0.0,-0.2313070283625736,0.13270792994786107,0.0
11.56389094168931,0.4012208981306114,0.7216818080124452,0.0,-0.23021696529190497,0.13532738519675683,0.0
11.525736607249582,0.4099831940703543,0.7164691418640661,0.0,-0.22908308102981667,0.13790901097421218,0.0
11.487732973999258,0.4186669727741109,0.7111796937613588,0.0,-0.22790639419797,0.14045137612719086,0.0
11.449882513464551,0.42727042414861494,0.7058161071124073,0.0,-0.2266881656123647,0.14295264369845845,0.0
11.412180417524668,0.435793456191336,0.70038003574106,0.0,-0.22542947524990925,0.1454114762618527,0.0
11.374629567445089,0.4442342950012806,0.6948742659672612,0.0,-0.22413170462397036,0.14782604895686408,0.0
11.337226072867479,0.45259275738249777,0.6893006360801518,0.0,-0.22279605636374228,0.15019499525974264,0.0
11.29996857116712,0.4608681475469212,0.6836613728846584,0.0,-0.22142386276978032,0.15251679989233405,0.0
11.262856315270655,0.46905969534651676,0.6779588244706851,0.0,-0.2200165261792311,0.15478992805887853,0.0
11.225889949324426,0.477166391791448,0.6721955876900173,0.0,-0.21857555238412318,0.15701278335377453,0.0
11.189064585015256,0.485188503237863,0.6663734196605855,0.0,-0.21710227653263842,0.15918412098644485,0.0
11.15238469674396,0.4931243195829387,0.6604955795966528,0.0,-0.21559845292218685,0.16130216408012257,0.0
11.115846263402107,0.5009740483282844,0.65456400876539,0.0,-0.2140655421305377,0.16336565982110116,0.0
11.079451135224426,0.5087366973964,0.6485816167583017,0.0,-0.21250529251456235,0.1653730429616238,0.0
11.0431930159706,0.516413078038254,0.6425499936203825,0.0,-0.2109191467218265,0.16732321986184695,0.0
11.007075552274241,0.5240019541795314,0.6364723908260689,0.0,-0.20930902046068384,0.16921457739216972,0.0
10.9710928458939,0.5315041699676422,0.6303504808894234,0.0,-0.20767645078079242,0.17104603218425954,0.0
10.935248749745371,0.5389185968818646,0.624187603477166,0.0,-0.20602345563686061,0.17281602175945282,0.0
10.899541422255762,0.5462453710318189,0.6179861548273907,0.0,-0.2043518402124894,0.17452330613284112,0.0
10.863970606925447,0.553484371018329,0.6117488190881687,0.0,-0.20266352391412715,0.17616659339932333,0.0
10.828531109984203,0.5606365423376146,0.6054774208394452,0.0,-0.2009602293714894,0.17774483778138692,0.0
10.793228478207766,0.5677007316826643,0.5991756964450947,0.0,-0.19924423466243277,0.17925653955385365,0.0
10.758057033710895,0.5746781179755094,0.592845404147113,0.0,-0.19751731642556752,0.18070072110319563,0.0
10.72301872989549,0.5815684241784914,0.5864896745003915,0.0,-0.19578166052819598,0.182076104427798,0.0
10.68811344274639,0.5883718674688486,0.5801112819227995,0.0,-0.1940393912166611,0.18338153445131541,0.0
10.65333430594324,0.5950900384590655,0.5737117675122717,0.0,-0.1922923308046869,0.1846161213668274,0.0
10.618686098846682,0.6017223386634087,0.5672948142713649,0.0,-0.1905429213160965,0.18577857569630649,0.0
10.584165603335896,0.6082697909408429,0.5608626431272352,0.0,-0.1887932399993476,0.18686792276065306,0.0
10.54977289920251,0.6147328569310084,0.5544180893382488,0.0,-0.18704556565811054,0.18788310086980528,0.0
10.515505899096565,0.6211124786251468,0.5479635867837359,0.0,-0.18530210198260394,0.18882313887134516,0.0
10.481363084200966,0.6274095573750659,0.541501675813681,0.0,-0.1835651158477681,0.1896870666798853,0.0
10.447349638733623,0.6336238434560181,0.5350361739246839,0.0,-0.181837248538007,0.19047378549560684,0.0
10.413457332690541,0.6397576172366825,0.5285683530382131,0.0,-0.18012049250813192,0.19118254026504047,0.0
10.37968784868498,0.6458114122397908,0.5221013659860344,0.0,-0.17841737691532777,0.1918123604296951,0.0
10.34604383460959,0.6517856810688707,0.5156385576271976,0.0,-0.17673050903755133,0.19236230737711757,0.0
10.312516559711424,0.6576829639660644,0.5091810839717641,0.0,-0.1750619581313378,0.19283164461323032,0.0
10.279117908541027,0.6635022460761614,0.5027340683361914,0.0,-0.1734148497914367,0.19321936886740013,0.0
10.245833838572011,0.6692471220775347,0.4962976314357059,0.0,-0.17179105587726803,0.1935248289389093,0.0
10.21267391714047,0.674917154913343,0.4898764489472648,0.0,-0.17019363812806307,0.19374713704233767,0.0
10.179631065511414,0.6805148526108196,0.4834719731390598,0.0,-0.168624875376076,0.19388557955803265,0.0
10.14671130793871,0.6860405663744915,0.4770881884937131,0.0,-0.16708769941781862,0.19393939621172168,0.0
10.113907744220331,0.6914969006577998,0.4707265673942377,0.0,-0.1655844593825933,0.1939078892544563,0.0
10.081227268671018,0.6968842306860118,0.4643912491264654,0.0,-0.16411816502816667,0.19379038579397348,0.0
10.04866042874077,0.702205706680908,0.4580831955123099,0.0,-0.1626911120484825,0.1935861910578855,0.0
10.01621513428677,0.7074616997205031,0.45180672329648364,0.0,-0.1613063896422838,0.19329471665302506,0.0
9.983885948231986,0.7126548339891605,0.4455635539513615,0.0,-0.1599665237586639,0.19291531439543244,0.0
9.95167703581767,0.7177862547337417,0.43935725323386143,0.0,-0.1586744644715786,0.19244745757261392,0.0
9.919582859091514,0.7228587290764371,0.43318950352006247,0.0,-0.1574327861569333,0.19189051308839059,0.0
9.887607074179877,0.7278736327653889,0.4270637442492699,0.0,-0.15624444516084904,0.19124401270183097,0.0
9.855753475084358,0.7328324090890587,0.4209834165847124,0.0,-0.15511239213737502,0.19050756287896126,0.0
9.824018772105335,0.7377376789773243,0.4149505885825451,0.0,-0.1540393272655348,0.1896806496905525,0.0
9.79240490029217,0.7425913182314956,0.4089683064541043,0.0,-0.15302814256221617,0.18876291053976788,0.0
9.760901761781902,0.7473971076916818,0.40303732982514867,0.0,-0.152081369490155,0.1877536336621001,0.0
9.729526124071526,0.7521547962750311,0.39716345548324283,0.0,-0.15120234860510748,0.18665299976630795,0.0
9.698263579332096,0.7568689442609359,0.3913466010089916,0.0,-0.15039350476632724,0.185460190581859,0.0
9.667126235578973,0.7615401611991034,0.3855916137037757,0.0,-0.14965798073383652,0.18417537942471124,0.0
9.63610932175817,0.7661716682773181,0.37990016754345135,0.0,-0.1489984591218384,0.18279815095939958,0.0
9.605220710631286,0.770764856535166,0.3742762281009428,0.0,-0.14841787532231823,0.1813286893992059,0.0
9.57445599551676,0.7753230069461452,0.36872147653293164,0.0,-0.14791888054792787,0.17976667666156998,0.0
9.543814108980014,0.7798489525110742,0.3632381844164099,0.0,-0.14750418619228417,0.17811196650640973,0.0
9.513304268961248,0.7843440629073387,0.3578304123216004,0.0,-0.14717658001215675,0.17636504942113904,0.0
9.482922209718824,0.7888117478826062,0.35249976645438896,0.0,-0.14693861802447222,0.17452574629071213,0.0
9.452669482597209,0.7932546031669159,0.347248850078782,0.0,-0.14679287754879944,0.17259425423700833,0.0
9.422549350059263,0.7976750155396192,0.34208050668322204,0.0,-0.1467418612963158,0.17057096325569385,0.0
9.39255737846196,0.8020765387159301,0.3369962141412745,0.0,-0.14678798901100806,0.168455809440935,0.0
9.362706943137006,0.8064601448025022,0.33200040515869866,0.0,-0.1469335471010429,0.16625007700329386,0.0
9.332997566093043,0.8108288631957576,0.3270950739097731,0.0,-0.14718069056201075,0.16395420284219167,0.0
9.303423470262818,0.8151865251337661,0.3222813095409901,0.0,-0.14753154974796037,0.16156825105966793,0.0
9.273997342357173,0.8195342552467367,0.3175631408529504,0.0,-0.14798790335644296,0.15909386487894964,0.0
9.244714949296926,0.8238756772666014,0.3129417642842146,0.0,-0.14855156858772345,0.15653142888556698,0.0
9.21558201472121,0.8282129414981134,0.3084198908241654,0.0,-0.14922402929304468,0.15388227328158818,0.0
